6,Classic Mojito,"Havana Club rum, mint, lime & sugar",12.50,Classics & Twists
7,Espresso Martini,"Absolut vodka, espresso, Kahlua coffee liqueur & sugar syrup",12.50,Martinis
8,Aperol Spritz,"Aperol, prosecco & soda",12.50,Spritzes
9,Homemade lemonade,"Classic, Passion fruit or Raspberry",4.95,Zero-proofs
13,The Green One,"Pear, cucumber, lettuce, celery & lemon",7.95,Fresh juices
3,Porn Star Martini,"Absolut Vanilla vodka, passion fruit purée, sugar syrup, served with a shot of prosecco",12.50,Martinis
12,Espresso,Espresso,2.75,Hot Drinks
5,Porn Star Martini,"Absolut Vanilla vodka, passion fruit purée, sugar syrup, served with a shot of prosecco",12.50,Martinis
11,Aspall Apple Cyder,Cider,4.95,Bottled cider
10,Peroni Stile Capri,Beer,4.95,Bottled beer
4,Soy Smoothie,"Soy Milk, Banana, Honey",5.00,Smoothies
2,Soy Smoothie,"Soy Milk, Banana, Honey",5.00,Smoothies
